county_name,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Adams County,47.99999999,67.83333332,48.83333333,44.49999999,53.16666666,70.66666665,84.99999999,82.83333332,90.83333332,102.8333333,118,116.3333333,81.49999999,109.6666666,122.8333333
Alamosa County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Arapahoe County,77.16666664,85.3333333,82.3333333,64.99999997,87.33333331,114.1666666,127.6666666,149.3333333,169.4999999,186.9999999,190,201.4999999,159.6666666,205.4999999,213.1666666
Archuleta County,0,1,0,0,1,1,0,2,1,4,0,1,0,2,2
Baca County,0,0,0,1,0,3,0,1,1,0,0,0,0,1,1
Bent County,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Boulder County,414.5,475,432.5,419.5,488.5,567,578,675.5,745.5,891.5,806.5,793,585,726,811.5
Broomfield County,48,47,44,40,34,69,59,89,70,111,106,106,82,91,105
Chaffee County,0,3,1,2,2,1,1,4,2,0,2,3,2,3,4
Cheyenne County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clear Creek County,0,1,2,1,0,0,1,0.5,0,1,1,2,0,1,0
Conejos County,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Costilla County,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
Crowley County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Custer County,0,2,0,0,0,1,1,0,1,1,0,1,0,0,1
Delta County,1,3,2,3,2,1,2,2,3,2,1,2,0,7,4
Denver County,78,82,83,67,68,100,94,136,169,207,215,233,211,259,342
Dolores County,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Douglas County,76.66666664,122.3333333,90.3333333,92.99999997,105.3333333,163.6666666,140.6666666,197.3333333,253.9999999,282.9999999,212,252.9999999,228.6666666,246.9999999,291.6666666
Eagle County,3,5.5,5,4,4,4,9.5,12,12,11,19.5,8,9.5,11,17.5
El Paso County,217,225.5,181,169,163,177,183,215.5,207.5,237,195.5,202.5,152,195,199
Elbert County,3,6,2,4,3,2,6,4,10,9,1,5,3,7,3
Fremont County,3,3,5,0,4,1,5,4,1,8,4,0,4,2,4
Garfield County,8,16,3,5,3,6,6,8,9,14,14,7,8,10,14
Gilpin County,1,0,0,0,0,0,0,0.5,2,0,0,0,0,2,0
Grand County,0,0,0,1,0,0,1,1,0,1,2,4,2,3,1
Gunnison County,0,1,0,0,0,0,0,0,1,1,0,1,0,2,1
Hinsdale County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huerfano County,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0
Jackson County,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,165.6666666,188,153,168,161.6666666,236,239.1666666,259.5,302.6666666,349.6666666,358,341.1666666,282.6666666,320.8333333,364.3333333
Kiowa County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kit Carson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Plata County,5,2,1,3,4,5,7,8,12,14,12,15,13,19,23
Lake County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larimer County,465,515,395,334.5,323.5,314.5,303.5,316.5,394.5,413.5,424.5,393.5,290.5,334,433.5
Las Animas County,1,0,0,0,1,0,1,0,0,0,2,1,2,3,1
Lincoln County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan County,0,0,0,1,0,1,1,3,2,3,2,1,4,9,6
Mesa County,7,8,11,10,7,13,11,15,22,21,21,24,16,22,16
Mineral County,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Moffat County,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1
Montezuma County,2,2,0,0,1,0,0,1,2,1,2,1,2,2,2
Montrose County,1,1,2,2,1,4,5,2,2,1,4,1,2,4,4
Morgan County,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1
Otero County,0,0,0,1,0,0,0,0,1,1,0,2,0,1,1
Ouray County,2,1,1,2,1,2,0,0,0,2,1,1,0,1,1
Park County,3,1,1,0,2,1,0,4,3,0,2,3,0,1,1
Phillips County,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
Pitkin County,3,1.5,5,3,4,7,4.5,8,15,4,12.5,12,14.5,15,16.5
Prowers County,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pueblo County,3,4,8,7,9,21,15,13,11,15,18,18,16,18,15
Rio Blanco County,0,2,1,0,1,0,1,0,3,0,0,2,1,0,0
Rio Grande County,0,1,0,1,0,1,2,0,0,2,0,0,0,0,0
Routt County,8,9,1,6,11,10,10,10,12,6,10,8,13,14,15
Saguache County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
San Juan County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
San Miguel County,0,1,0,1,1,0,2,1,1,3,1,3,5,3,3
Sedgwick County,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Summit County,2,7,3,1,2,3,2,7,8,13,9,13,7,7,8
Teller County,33,16.5,7,9,9,18,9,9.5,13.5,13,8.5,5.5,12,16,15
Washington County,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Weld County,170.5,209.5,172,145.5,158.5,183,186,200,236,250.5,268,248.5,182,223,256
Yuma County,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0
Unknown,4,0,1,3,2,3,4,1,4,3,6,6,3,1,8
